"bus-cycles","branch-instructions","cache-references","node-loads","branch-misses","node-stores","cache-misses","instructions","L1-icache-load-misses","branch-loads","LLC-load-misses","L1-dcache-loads","LLC-loads","L1-dcache-stores","L1-dcache-load-misses","iTLB-load-misses","class"
"999701","29000000","451","56","81","5","83","110000000","235","29000000","135","21000000","292","14000000","516","5","trojan"
"999741","29000000","451","57","81","5","84","110000000","235","29000000","135","21000000","292","14000000","516","5","trojan"
"999760","29000000","450","57","81","5","84","110000000","234","29000000","135","21000000","291","14000000","515","5","trojan"
"999798","29000000","449","57","81","5","83","110000000","234","29000000","134","21000000","291","14000000","514","5","trojan"
"999844","29000000","448","56","81","5","83","110000000","233","29000000","134","21000000","290","14000000","514","5","trojan"
"999877","29000000","447","56","81","5","83","110000000","232","29000000","134","21000000","289","14000000","513","5","trojan"
"999922","29000000","446","56","80","5","82","110000000","232","29000000","133","21000000","289","14000000","512","4","trojan"
"999967","29000000","444","56","80","5","82","110000000","231","29000000","133","21000000","288","14000000","511","4","trojan"
"1000004","29000000","443","56","80","5","82","110000000","230","29000000","132","21000000","287","14000000","510","4","trojan"
"999971","29000000","442","55","80","5","82","110000000","230","29000000","132","21000000","287","14000000","510","4","trojan"
"999967","29000000","442","55","80","5","81","110000000","229","29000000","131","21000000","286","14000000","509","4","trojan"
"999995","29000000","441","55","80","5","81","110000000","228","29000000","131","21000000","286","14000000","508","4","trojan"
"1000005","29000000","440","55","80","5","81","110000000","228","29000000","130","21000000","285","14000000","507","4","trojan"
"999936","29000000","439","55","79","5","81","110000000","227","29000000","130","21000000","284","14000000","506","4","trojan"
"999614","29000000","440","56","80","5","82","110000000","227","29000000","130","21000000","284","14000000","506","4","trojan"
"999224","29000000","442","56","80","5","83","110000000","227","29000000","129","21000000","283","14000000","506","4","trojan"
"999223","29000000","443","57","79","5","84","110000000","227","29000000","130","21000000","284","14000000","506","4","trojan"
"999152","29000000","444","58","79","5","85","110000000","228","29000000","131","21000000","285","14000000","508","4","trojan"
"999186","29000000","445","59","79","5","86","110000000","228","29000000","132","21000000","287","14000000","509","4","trojan"
"999188","29000000","448","59","79","5","87","110000000","229","29000000","133","21000000","288","14000000","510","4","trojan"
"999155","29000000","450","60","80","5","89","110000000","229","29000000","133","21000000","288","14000000","510","4","trojan"
"999160","29000000","452","61","79","5","90","110000000","229","29000000","133","21000000","288","14000000","510","4","trojan"
"999210","29000000","453","62","79","5","92","110000000","229","29000000","134","21000000","289","14000000","511","4","trojan"
"999182","29000000","455","64","79","5","94","110000000","229","29000000","134","21000000","289","14000000","511","4","trojan"
"999189","29000000","457","65","79","5","95","110000000","229","29000000","134","21000000","288","14000000","510","4","trojan"
"999260","29000000","457","65","79","6","96","110000000","228","29000000","133","21000000","287","14000000","509","4","trojan"
"999265","29000000","459","67","79","6","98","110000000","228","29000000","133","21000000","287","14000000","509","4","trojan"
"999277","29000000","459","67","79","6","98","110000000","228","29000000","134","21000000","288","14000000","510","4","trojan"
"999174","29000000","459","68","79","6","99","110000000","228","29000000","133","21000000","287","14000000","509","4","trojan"
"999191","29000000","459","68","79","6","99","110000000","227","29000000","133","21000000","287","14000000","508","4","trojan"
"999203","29000000","458","68","79","6","99","110000000","227","29000000","133","21000000","286","14000000","507","4","trojan"
"999218","29000000","458","68","79","6","99","110000000","227","29000000","133","21000000","286","14000000","507","4","trojan"
"999237","29000000","457","68","79","6","99","110000000","226","29000000","133","21000000","286","14000000","507","4","trojan"
"999265","29000000","456","68","79","6","99","110000000","226","29000000","132","21000000","285","14000000","506","4","trojan"
"999296","29000000","456","68","78","6","98","110000000","226","29000000","133","21000000","286","14000000","506","4","trojan"
"999339","29000000","455","68","78","6","98","110000000","226","29000000","133","21000000","286","14000000","506","4","trojan"
"999369","29000000","454","67","78","6","98","110000000","226","29000000","134","21000000","287","14000000","507","4","trojan"
"999380","29000000","454","67","78","6","98","110000000","226","29000000","134","21000000","287","14000000","507","4","trojan"
"999410","29000000","453","67","78","6","97","110000000","226","29000000","134","21000000","287","14000000","507","4","trojan"
"999429","29000000","452","67","78","6","97","110000000","226","29000000","135","21000000","288","14000000","508","4","trojan"
"999462","29000000","451","67","78","6","97","110000000","226","29000000","135","21000000","288","14000000","508","4","trojan"
"999483","29000000","450","67","78","6","96","110000000","226","29000000","136","21000000","289","14000000","508","4","trojan"
"999515","29000000","449","66","78","6","96","110000000","226","29000000","138","21000000","290","14000000","509","4","trojan"
"999549","29000000","449","66","77","5","96","110000000","226","29000000","138","21000000","290","14000000","510","4","trojan"
"999584","29000000","448","66","77","5","96","110000000","226","29000000","139","21000000","291","14000000","510","4","trojan"
"999623","29000000","447","66","77","5","95","110000000","226","29000000","139","21000000","292","14000000","511","4","trojan"
"999663","29000000","446","66","77","5","95","110000000","227","29000000","140","21000000","293","14000000","511","4","trojan"
"999703","29000000","445","65","77","5","95","110000000","227","29000000","140","21000000","293","14000000","512","4","trojan"
"999742","29000000","444","65","77","5","94","110000000","226","29000000","140","21000000","293","14000000","511","4","trojan"
"999784","29000000","443","65","77","5","94","110000000","226","29000000","140","21000000","292","14000000","511","4","trojan"
"999804","29000000","442","65","77","5","94","110000000","226","29000000","140","21000000","292","14000000","510","4","trojan"
"999838","29000000","442","65","77","5","94","110000000","226","29000000","140","21000000","292","14000000","510","4","trojan"
"999876","29000000","441","65","77","5","94","110000000","227","29000000","140","21000000","293","14000000","511","4","trojan"
"999915","29000000","440","65","76","5","94","110000000","227","29000000","140","21000000","293","14000000","511","4","trojan"
"999892","29000000","440","65","76","5","94","110000000","227","29000000","140","21000000","292","14000000","511","4","trojan"
"999894","29000000","441","65","76","5","94","110000000","226","29000000","140","21000000","291","14000000","510","4","trojan"
"999933","29000000","440","65","76","5","94","110000000","225","29000000","139","21000000","291","14000000","509","4","trojan"
"999970","29000000","439","65","76","5","93","110000000","225","29000000","139","21000000","290","14000000","508","4","trojan"
"1000007","29000000","438","65","76","5","93","110000000","224","29000000","138","21000000","290","14000000","507","4","trojan"
"1000044","29000000","437","64","76","5","93","110000000","224","29000000","138","21000000","289","14000000","506","4","trojan"
"1000071","29000000","436","64","76","5","93","110000000","223","29000000","137","21000000","288","14000000","505","4","trojan"
"1000084","29000000","436","64","76","5","92","110000000","223","29000000","137","21000000","287","14000000","505","4","trojan"
"1000121","29000000","435","64","76","5","92","110000000","222","29000000","137","21000000","287","14000000","504","4","trojan"
"1000113","29000000","434","64","75","5","92","110000000","221","29000000","136","21000000","286","14000000","503","4","trojan"
"1000149","29000000","433","63","75","5","92","110000000","221","29000000","136","21000000","286","14000000","502","4","trojan"
"1000184","29000000","432","63","75","5","91","110000000","221","29000000","135","21000000","285","14000000","502","4","trojan"
"1000220","29000000","431","63","75","5","91","110000000","220","29000000","135","21000000","285","14000000","501","4","trojan"
"1000254","29000000","430","63","75","5","91","110000000","220","29000000","135","21000000","285","14000000","502","4","trojan"
